"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"1305391-05-221-1135266","1305391-05-221","1135266","Agk Home Solutions, Inc","Agk Home Solutions, Inc","4261 Belvedere Dr","San Jose","CA","95129","2022-01-01T00:00:00.000",,"2022-01-01T00:00:00.000",,,"0000 Undeliverable Mail","San Francisco","99999","CA","2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-121.978019039 37.312457015)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1282414-07-211-1126251","1282414-07-211","1126251","Premier Sign Installations","Premier Sign Installations","7551 Carmelo Ave","Tracy","CA","95304","2021-07-01T00:00:00.000",,"2021-07-01T00:00:00.000",,,"7551 Carmelo Ave","Tracy","95304","CA","2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-121.399586122 37.741951442)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1193587-06-181-0369992","1193587-06-181","0369992","Smuin Ballets/SF","Smuin Ballets/SF","44 Gough St Ste 103","San Francisco","CA","94103","1994-05-01T00:00:00.000",,"2009-07-27T00:00:00.000","2019-10-23T00:00:00.000",,"1830 17th St","San Francisco","94103","CA","7100-7199","Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation","false","false",,,,"6","Mission",,"POINT (-122.421132 37.77264)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","20","32"
"1316495-10-221-1139764","1316495-10-221","1139764","Patricia Martir De Ruano","Juda Janitorial Services","1705 Newcomb Ave","San Francisco","CA","94124","2022-10-18T00:00:00.000",,"2022-10-18T00:00:00.000",,,"1705 Newcomb Ave","San Francisco","94124","CA","5600-5699","Administrative and Support Services","Administrative and Support Services","false","false",,,,"10","Bayview Hunters Point",,"POINT (-122.3920395 37.736199)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","86","2","9","1","86"
"1003084-07-141-1002063","1003084-07-141","1002063","Digitaltangible Inc","Digitaltangible Inc","660 4th St 214","San Francisco","CA","94107","2014-06-01T00:00:00.000","2016-07-31T00:00:00.000","2014-06-01T00:00:00.000","2016-07-31T00:00:00.000",,,,,,,,,"false","false",,,,"6","South of Market",,"POINT (-122.39559 37.777239)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","34","32"
"0011867-02-001-0011867","0011867-02-001","0011867","J. C. Simpson Rpt Inc","Bert's Conditioning Clinic","450 Sutter St #1003","San Francisco","CA","94108","1968-10-01T00:00:00.000","2023-06-30T00:00:00.000","2011-01-01T00:00:00.000","2023-06-30T00:00:00.000",,,,,,"5400-5499","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","false","false",,,,"3","Financial District/South Beach",,"POINT (-122.407848 37.789659)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","19","6","3","8","19"
"0469722-01-001-0469722","0469722-01-001","0469722","Ks Ventures LLC","Ks Ventures LLC","3727 Buchanan St Fl 3","San Francisco","CA","94123","2012-01-01T00:00:00.000","2019-05-24T00:00:00.000","2012-01-01T00:00:00.000","2019-05-24T00:00:00.000",,,,,,,,,"false","false",,,,"2","Marina",,"POINT (-122.43375 37.804383)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","17","4","6","13","17"
"0919371-01-001-0919371","0919371-01-001","0919371","Fiore Kara A/Fiore Roche Lisa M/Fiore Ronald R","R A F Investments","510 Mission St","San Francisco","CA","94105","1993-04-01T00:00:00.000",,"2011-09-29T00:00:00.000","2014-03-01T00:00:00.000",,"238 Townsend St","San Francisco","94107","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"6","Financial District/South Beach",,"POINT (-122.398119 37.789767)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","10","8","108"
"1209124-01-191-1096602","1209124-01-191","1096602","Intech Mechanical Company LLC","Intech Mechanical Company LLC","7501 Galilee Rd","Roseville","CA","95678","2019-01-07T00:00:00.000",,"2019-01-07T00:00:00.000",,,"7501 Galilee Rd","Roseville","95678","CA","2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-121.307657976 38.777915984)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"0473378-01-001-0473378","0473378-01-001","0473378","Hom Henry","Shenmen Tcm","94 29th St","San Francisco","CA","94110","2012-10-01T00:00:00.000","2015-04-27T00:00:00.000","2012-10-01T00:00:00.000","2015-04-27T00:00:00.000",,,,,,,,,"false","false",,,,"9","Bernal Heights","Mission Street","POINT (-122.422374 37.744182)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","83","9","5","2","83"
