"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"1012656-11-141-0476837","1012656-11-141","0476837","Srectrade Inc","Srectrade Inc","201 California St 630","San Francisco","CA","94111","2011-02-01T00:00:00.000",,"2014-08-01T00:00:00.000",,,"0000 Undeliverable Mail","San Francisco","99999","CA","5210-5239","Financial Services","Financial Services","false","false",,,,"3","Financial District/South Beach",,"POINT (-122.399055 37.792998)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","3","8","108"
"0392688-01-001-0392688","0392688-01-001","0392688","Daniel H Chiu","Dc Dental Care","6050 Geary Blvd #201","San Francisco","CA","94121","2005-11-01T00:00:00.000",,"2005-11-01T00:00:00.000","2015-12-31T00:00:00.000",,"450 Sutter St Rm 2512","San Francisco","94108","CA","6100-6299","Private Education and Health Services","Private Education and Health Services","false","false",,,,"1","Outer Richmond",,"POINT (-122.484223071 37.780217477)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","8","8","4","29","8"
"1378407-01-251-1165563","1378407-01-251","1165563","Wanna Xian","Wanna Xian","1119 Girard St","San Francisco","CA","94134","2025-01-16T00:00:00.000",,"2025-01-16T00:00:00.000",,,"1119 Girard St","San Francisco","94134","CA","4400-4599","Retail Trade","Retail Trade","false","false",,,,"10","Visitacion Valley",,"POINT (-122.400828 37.71873)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","91","9","9","40","91"
"1344434-10-231-1151512","1344434-10-231","1151512","Little Red Radio Promotion LLC","Little Red Radio Promotion LLC","1789 Egbert Ave","San Francisco","CA","94124","2023-09-25T00:00:00.000",,"2023-09-25T00:00:00.000","2025-01-23T00:00:00.000",,"144 Dolores St","San Francisco","94103","CA","5400-5499","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","false","false",,,,"10","Bayview Hunters Point",,"POINT (-122.398977526 37.726690401)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","86","2","9","1","86"
"0482281-00-000-0482281","0482281-00-000","0482281","Lightfoot Marquita","Lightfoot Marquita","4444 Geary Blvd Ste 100","San Francisco","CA","94118","2002-06-12T00:00:00.000",,"2002-06-12T00:00:00.000",,,"0000 Undeliverable Mail","San Francisco","99999","CA",,,,"false","false",,,,"1","Inner Richmond",,"POINT (-122.4672075 37.781199)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","5","8","4","11","5"
"1155958-07-171-1028560","1155958-07-171","1028560","American Tower Corporation","Atc Managed Sites LLC #Us-Ca-1415","30 Medical Center Way","San Francisco","CA","94143","2014-01-01T00:00:00.000",,"2015-01-01T00:00:00.000",,,"140 Grand St 300 Ste","White Plains","10601","NY","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"7","Inner Sunset",,"POINT (-122.45794497 37.761741484)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","110","7","8","14","110"
"1292510-11-211-1058654","1292510-11-211","1058654","Side Inc","Waymaker Realty","580 4th St","San Francisco","CA","94107","2016-09-01T00:00:00.000",,"2021-11-30T00:00:00.000",,,"580 4th St","San Francisco","94107","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"6","South of Market",,"POINT (-122.396967 37.778499)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","34","32"
"1042844-10-151-1020040","1042844-10-151","1020040","Dena Trust","2646-2652 Webster St","2646 Webster St","San Francisco","CA","94123","2014-07-01T00:00:00.000",,"2014-07-01T00:00:00.000",,,"Po Box 537","Auburn","95604","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"2","Pacific Heights",,"POINT (-122.433334 37.794933)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","102","4","6","30","102"
"0455304-01-001-0455304","0455304-01-001","0455304","Dover Abraham N","Picklewater Industries","425 Judah St 203","San Francisco","CA","94117","2011-01-10T00:00:00.000","2018-06-30T00:00:00.000","2011-01-10T00:00:00.000","2018-06-30T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,"7","Inner Sunset",,"POINT (-122.4667755 37.761903)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","109","10","8","14","109"
"1056604-02-161-1004804","1056604-02-161","1004804","Ad2games Inc","Ad2games Inc","143 2nd St #400","San Francisco","CA","94105","2014-09-01T00:00:00.000","2021-06-30T00:00:00.000","2016-01-01T00:00:00.000","2021-06-30T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,"6","Financial District/South Beach",,"POINT (-122.398893 37.787607)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","8","32"
