"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"1025935-04-151-1012532","1025935-04-151","1012532","Fresh Healthy Media LLC","Vegnews","3505 20th St","San Francisco","CA","94110","2015-04-01T00:00:00.000","2016-08-31T00:00:00.000","2015-04-01T00:00:00.000","2016-08-31T00:00:00.000",,,,,,,,,"false","false",,,,"9","Mission",,"POINT (-122.41935 37.758465)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","53","3","2","20","53"
"0017232-01-001-0017232","0017232-01-001","0017232","Livingston Stone & Mcgowan","Livingston Stone & Mcgowan","450 Sansome St 3rd Fl","San Francisco","CA","94111","2006-11-16T00:00:00.000","2017-05-01T00:00:00.000","2006-11-16T00:00:00.000","2014-04-01T00:00:00.000",,,,,,,,,"false","false",,,,"3","Chinatown",,"POINT (-122.4011565 37.794645)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","3","6","108"
"1218302-04-191-1100561","1218302-04-191","1100561","Elizabeth Rood","Learning Designs Consulting","192 Bonview St","San Francisco","CA","94110","2019-04-01T00:00:00.000","2020-07-31T00:00:00.000","2019-04-01T00:00:00.000","2020-07-31T00:00:00.000",,,,,,,,,"false","false",,,,"9","Bernal Heights",,"POINT (-122.4183825 37.741014)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","83","9","2","2","83"
"1125376-10-161-1060215","1125376-10-161","1060215","Premier Scaffold Inc","Premier Scaffold Inc","4709 Kimber Ave","Bakersfield","CA","93307","2016-10-24T00:00:00.000",,"2016-10-24T00:00:00.000",,,"4709 Kimber Ave","Bakersfield","93307","CA","2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-118.951420001 35.350986018)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1031687-06-151-1015092","1031687-06-151","1015092","Nys Collection Eyewear","Nys Collection Eyewear","865 Market St","San Francisco","CA","94103","2015-06-11T00:00:00.000","2018-10-31T00:00:00.000","2015-06-11T00:00:00.000","2018-10-31T00:00:00.000",,,,,,,,,"false","false",,,,"6","South of Market",,"POINT (-122.407173 37.783953)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","5","10","34","32"
"1018817-02-151-1009095","1018817-02-151","1009095","Five Sweets Inc","Five Sweets","1125 Ocean Ave","San Francisco","CA","94112","2015-02-11T00:00:00.000","2018-10-15T00:00:00.000","2015-02-11T00:00:00.000","2018-10-15T00:00:00.000",,,,,,,,,"false","false",,,,"11","Oceanview/Merced/Ingleside","Ocean Ave","POINT (-122.45463 37.72341)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","64","10","8","24","64"
"1208259-12-181-1096213","1208259-12-181","1096213","Kim Hoang","Plushone","1 Hawthorne St Unit 8j","San Francisco","CA","94105","2018-12-26T00:00:00.000","2023-05-01T00:00:00.000","2018-12-26T00:00:00.000","2023-05-31T00:00:00.000",,,,,,"4400-4599","Retail Trade","Retail Trade","false","false",,,,"6","Financial District/South Beach",,"POINT (-122.3990415 37.78578)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","8","32"
"0403543-03-001-0403543","0403543-03-001","0403543","Mack Ronald C","Mackboiant Mb Clothing","3737 Alemany Blvd","San Francisco","CA","94132","2011-05-24T00:00:00.000","2014-06-14T00:00:00.000","2011-05-24T00:00:00.000","2014-06-14T00:00:00.000",,,,,,,,,"false","false",,,,"7","Oceanview/Merced/Ingleside",,"POINT (-122.4659475 37.711503)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","65","10","8","24","65"
"1290395-10-211-1129225","1290395-10-211","1129225","Walter Alexander Varakin 2012 Revocable Trust","Walter Alexander Varakin 2012 Revocable Trust","861 -866 Fell St #","San Francisco","CA","94117","2021-05-01T00:00:00.000",,"2021-05-01T00:00:00.000",,,"3475 California St","San Francisco","94118","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"5","Hayes Valley",,"POINT (-122.431984 37.77457)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","26","4","11","9","26"
"0467825-01-999-0467825","0467825-01-999","0467825","Zahdeh Saleh S","Aladdin Limousine","4871 Pacheco Blvd","Pacheco","CA","94553","2012-04-01T00:00:00.000","2018-06-30T00:00:00.000","2012-04-01T00:00:00.000","2018-06-30T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,,,,"POINT (-122.078441029 37.999210985)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1273911-04-211-1123076","1273911-04-211","1123076","Verson Legal Services Inc.","Verson Legal Services","1315 11th Ave","San Francisco","CA","94122","2021-04-06T00:00:00.000","2022-03-01T00:00:00.000","2021-04-06T00:00:00.000","2022-03-01T00:00:00.000",,,,,,"5400-5499","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","false","false",,,,"7","Inner Sunset",,"POINT (-122.468661 37.763595)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","109","10","11","14","109"
"0447606-01-999-0447606","0447606-01-999","0447606","Lau Peter Kt","Peter Kt Lau","2250 East 20th St","Oakland","CA","94606","2010-03-09T00:00:00.000","2010-03-09T00:00:00.000","2010-03-09T00:00:00.000","2010-03-09T00:00:00.000",,,,,,,,,"false","false",,,,,,,"POINT (-122.232664024 37.788350004)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1004771-08-141-0490514","1004771-08-141","0490514","Roberts Asset Recovery Srvcs","Roberts Asset Recovery Srvcs","388 Market St 1300","San Francisco","CA","94111","2014-06-16T00:00:00.000",,"2014-07-01T00:00:00.000",,,"0000 Undeliverable Mail","San Francisco","99999","CA","5100-5199","Information","Information","false","false",,,,"3","Financial District/South Beach",,"POINT (-122.3980875 37.792197)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","3","8","108"
"1147218-05-171-1070534","1147218-05-171","1070534","Alicia Linsangan","Uhaulsf","1188 Mission St 1313","San Francisco","CA","94103","2017-05-21T00:00:00.000","2020-03-20T00:00:00.000","2017-05-21T00:00:00.000","2020-03-20T00:00:00.000",,,,,,"7100-7199","Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation","false","false",,,,"6","South of Market","Central Market","POINT (-122.4126495 37.778166)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","5","10","34","32"
"0491074-01-001-0491074","0491074-01-001","0491074","Suzannah M Stason Lac","Suzannah M Stason Lac","2000 Van Ness Ave Ste 708","San Francisco","CA","94109","2014-05-28T00:00:00.000",,"2014-05-28T00:00:00.000","2016-06-30T00:00:00.000",,"119 Nevada St","San Francisco","94110","CA","6100-6299","Private Education and Health Services","Private Education and Health Services","false","false",,,,"3","Russian Hill",,"POINT (-122.4226755 37.794177)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","105","4","3","32","105"
"1232649-08-191-0437393","1232649-08-191","0437393","Vpm Maintenance Management LLC","Vpm General Building LLC","100 Font Blvd","San Francisco","CA","94132","2009-04-11T00:00:00.000",,"2019-08-29T00:00:00.000","2020-02-19T00:00:00.000",,"3711 19th Ave","San Francisco","94132","CA","2300-2399","Construction","Construction","false","false",,,,"7","Lakeshore",,"POINT (-122.4727875 37.715238)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","42","10","8","16","42"
"1380207-02-251-1166366","1380207-02-251","1166366","Amergis Holdings, Inc.","Amergis Locum Tenens, LLC.","7223 Lee Deforest Dr","Columbia","MD","21046","2025-01-01T00:00:00.000",,"2025-01-01T00:00:00.000",,,"7223 Lee Deforest Dr","Columbia","21046","MD","5600-5699","Administrative and Support Services","Administrative and Support Services","false","false",,,,,,,"POINT (-76.81921129 39.171634512)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
