"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"0472862-01-001-0472862","0472862-01-001","0472862","54 Lobos Child Care","54 Lobos Child Care","54 Lobos St","San Francisco","CA","94112","2012-10-01T00:00:00.000",,"2012-10-01T00:00:00.000","2016-09-19T00:00:00.000",,"54 Lobos St","San Francisco","94112","CA",,,,"false","false",,,,"11","Oceanview/Merced/Ingleside",,"POINT (-122.454549 37.715193)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","81","10","1","24","81"
"1337867-07-231-1148663","1337867-07-231","1148663","Bulldog Law, P.C.","Bulldog Law, P.C.","1 Sansome St Ste 3500","San Francisco","CA","94104","2023-07-11T00:00:00.000",,"2023-07-11T00:00:00.000",,,"0000 Undeliverable Mail","San Francisco","99999","CA",,,,"false","false",,,,"3","Financial District/South Beach",,"POINT (-122.400954 37.790487)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","3","8","108"
"1093441-08-161-1044515","1093441-08-161","1044515","Ho Hin Chung","H Construction Co","1000 Washington Ave #E","Albany","CA","94706","2016-08-24T00:00:00.000",,"2016-08-24T00:00:00.000",,,"Po Box 347303","San Francisco","94134","CA","2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-122.300748966 37.891957996)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1201689-09-181-1093266","1201689-09-181","1093266","Young Cho","Eco General Roofing","1296 Armstrong Ave Unit A","San Francisco","CA","94124","2018-09-28T00:00:00.000","2018-12-31T00:00:00.000","2018-09-28T00:00:00.000","2018-12-31T00:00:00.000",,,,,,"2300-2399","Construction","Construction","false","false",,,,"10","Bayview Hunters Point",,"POINT (-122.3859465 37.723086)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","78","2","9","1","78"
"1025812-04-151-1012462","1025812-04-151","1012462","Crosby Liana Manukyan","Crosby Liana Manukyan","51 Chenery St","San Francisco","CA","94131","2015-04-05T00:00:00.000","2017-05-31T00:00:00.000","2015-04-05T00:00:00.000","2017-05-31T00:00:00.000",,,,,,,,,"false","false",,,,"8","Glen Park",,"POINT (-122.4254295 37.741032)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","59","9","5","10","59"
"0482967-06-001-0482967","0482967-06-001","0482967","Smith Chad H","Tea Smiths Of San Francisco","85 Barlett St","San Francisco","CA","94110","2013-09-05T00:00:00.000","2016-04-22T00:00:00.000","2014-06-09T00:00:00.000","2016-04-22T00:00:00.000",,,,,,,,,"false","false",,,,"9","Mission",,"POINT (-122.419865947 37.755663943)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","53","3","2","20","53"
"1191563-06-181-1088950","1191563-06-181","1088950","Summit Group Delivery LLC","Summit Group Delivery LLC","701 Larkin St","San Francisco","CA","94109","2018-06-11T00:00:00.000","2022-06-29T00:00:00.000","2018-06-11T00:00:00.000","2022-06-29T00:00:00.000","***Administratively Closed",,,,,"4400-4599","Retail Trade","Retail Trade","false","false",,,,"5","Tenderloin","Larkin Street","POINT (-122.4178875 37.784349)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","20","5","10","36","20"
"1230495-08-191-0450267","1230495-08-191","0450267","Off The Grid Services LLC","Capsule 2","215 Fremont St","San Francisco","CA","94105","2010-06-18T00:00:00.000",,"2019-08-09T00:00:00.000",,,"1469 Pacific Ave","San Francisco","94109","CA","7220-7229","Food Services","Food Services","false","false",,,,"6","Financial District/South Beach",,"POINT (-122.394312 37.789146)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","8","32"
"1003024-07-141-0441492","1003024-07-141","0441492","Yot Yogurts LLC","Yotopia","3280 22nd St","San Francisco","CA","94110","2009-08-10T00:00:00.000","2014-03-30T00:00:00.000","2009-08-10T00:00:00.000","2014-03-30T00:00:00.000",,,,,,,,,"false","false",,,,"9","Mission",,"POINT (-122.420538332 37.755352732)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","53","3","2","20","53"
"1105264-08-161-1050402","1105264-08-161","1050402","Michael E Gutierrez","Michael E Gutierrez, General Contractor","171 Darby Pl Apt 6","San Bruno","CA","94066","2016-08-30T00:00:00.000","2016-12-14T00:00:00.000","2016-08-30T00:00:00.000","2016-12-14T00:00:00.000",,,,,,"2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-122.429345968 37.60579999)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1210745-01-191-1058654","1210745-01-191","1058654","Side Inc","Room Real Estate","466 Brannan St","San Francisco","CA","94107","2016-09-01T00:00:00.000",,"2019-01-22T00:00:00.000","2019-08-14T00:00:00.000",,"580 4th St","San Francisco","94107","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"6","South of Market",,"POINT (-122.3959635 37.778967)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","34","32"
"1032289-07-151-1015421","1032289-07-151","1015421","Pratt Myles A & Pratt Mary P","Forward Films","1655 Mission St #1037","San Francisco","CA","94103","2015-07-01T00:00:00.000","2017-05-29T00:00:00.000","2015-07-01T00:00:00.000","2016-11-28T00:00:00.000",,,,,,,,,"false","false",,,,"6","Mission",,"POINT (-122.419206 37.771614)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","20","32"
"1337544-07-231-1148523","1337544-07-231","1148523","Refresh Management","The Clinic","1736 Divisadero St","San Francisco","CA","94115","2020-07-17T00:00:00.000",,"2020-07-17T00:00:00.000",,,"320 1st St N Ste 712","Jacksonville Beach","32250","FL",,,,"false","false",,,,"2","Pacific Heights",,"POINT (-122.4396945 37.785789)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","103","4","6","30","103"
"1297738-02-221-1124427","1297738-02-221","1124427","Treat Property LLC","Treat Property LLC","500 Treat Ave","San Francisco","CA","94110","2015-06-23T00:00:00.000",,"2015-06-23T00:00:00.000",,,"466 Green St 302 Ste","San Francisco","94133","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","true","false",,,,"9","Mission",,"POINT (-122.414427 37.761894)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","53","3","2","20","53"
"1270647-03-211-1028653","1270647-03-211","1028653","Koneksys LLC","Koneksys","1565 Oak St","San Francisco","CA","94117","2016-02-29T00:00:00.000",,"2018-04-01T00:00:00.000",,,"1114 S Kenword Ave","Baltimore","21224","MD","5400-5499","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","false","false",,,,"5","Haight Ashbury",,"POINT (-122.4449685 37.771884)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","25","7","11","3","25"
"0449394-01-001-0449394","0449394-01-001","0449394","Linares Jose O","The Salad Place","400 London St","San Francisco","CA","94112","2010-06-20T00:00:00.000","2020-01-24T00:00:00.000","2010-06-20T00:00:00.000","2020-01-24T00:00:00.000",,,,,,,,,"false","false",,,,"11","Excelsior",,"POINT (-122.4354015 37.722753)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","90","9","1","7","90"
