"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"0480082-01-001-0480082","0480082-01-001","0480082","Calcal Inc","Prime Dip Gourmet Sdws Sansome","545 Sansome St","San Francisco","CA","94111","2013-06-24T00:00:00.000","2017-04-30T00:00:00.000","2013-06-24T00:00:00.000","2016-01-31T00:00:00.000",,,,,,,,,"false","false",,,,"3","Chinatown",,"POINT (-122.4018855 37.795464)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","3","6","108"
"0099771-04-001-0099771","0099771-04-001","0099771","Jweinat John & Maha S","Park Plaza Fine Foods","111 Cambon Dr","San Francisco","CA","94132","1989-07-01T00:00:00.000",,"1996-09-17T00:00:00.000","2014-03-01T00:00:00.000",,"1275 Murchison Dr","Millbrae","94030","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"7","Lakeshore",,"POINT (-122.4731835 37.71603)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","42","10","8","16","42"
"0096088-02-001-0096088","0096088-02-001","0096088","Sf Amateur Radio Club Inc","San Francisco Radio Club","2165 Filbert St #300","San Francisco","CA","94123","1976-04-01T00:00:00.000",,"1991-05-16T00:00:00.000","2019-06-06T00:00:00.000",,"Po Box 471480","San Francisco","94147","CA",,,,"false","false",,,,"2","Marina",,"POINT (-122.4350055 37.797831)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","15","4","6","13","15"
"1231844-08-191-1105808","1231844-08-191","1105808","S.C. Johnson & Son, Inc.","S.C. Johnson & Son, Inc.","637 Commercial St","San Francisco","CA","94111","2019-08-01T00:00:00.000",,"2019-08-01T00:00:00.000","2021-06-29T00:00:00.000",,"1525 Howe St Stop Hp1s3","Racine","53403","WI","4200-4299","Wholesale Trade","Wholesale Trade","false","false",,,,"3","Chinatown",,"POINT (-122.403699 37.793934)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","104","6","3","6","104"
"0334970-01-001-0334970","0334970-01-001","0334970","Student Options LLC","Student Options LLC","220 Bush St Ste 660","San Francisco","CA","94104","1999-01-01T00:00:00.000",,"1999-01-01T00:00:00.000",,,"450 Folsom St Apt 1712","San Francisco","94105","CA","5210-5239","Financial Services","Financial Services","false","false",,,,"3","Financial District/South Beach",,"POINT (-122.4012825 37.791225)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","3","8","108"
"0120073-01-001-0120073","0120073-01-001","0120073","Altman Roger K","Associated Marriage Counselors","405 Clement St","San Francisco","CA","94118","1979-01-01T00:00:00.000","2019-06-05T00:00:00.000","1979-01-01T00:00:00.000","2019-06-05T00:00:00.000",,,,,,,,,"false","false",,,,"1","Inner Richmond",,"POINT (-122.463621 37.782873)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","5","8","4","11","5"
"1361127-05-241-1158451","1361127-05-241","1158451","New Yin Du Noodle House Inc","Yin Du Wonton Noodle","648 Pacific Ave","San Francisco","CA","94109","2024-05-14T00:00:00.000",,"2024-05-14T00:00:00.000",,,"450 Folsom St Apt 1208","San Francisco","94105","CA","7220-7229","Food Services","Food Services","false","false",,,,"3","Chinatown","Chinatown","POINT (-122.4065385 37.797228)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","104","6","3","6","104"
"1278233-05-211-1124654","1278233-05-211","1124654","Potrero Starrs LLC","Potrero Starrs","1250 Missouri St Apt 307","San Francisco","CA","94107","2021-05-21T00:00:00.000",,"2021-05-21T00:00:00.000","2024-01-01T00:00:00.000",,"344a Connecticut St","San Francisco","94107","CA",,,,"false","false",,,,"10","Bayview Hunters Point",,"POINT (-122.395608 37.750527)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","54","2","9","1","54"
"0034511-04-001-0034511","0034511-04-001","0034511","Bertram John R","1-3 Vicksburg St Apt","1 Vicksburg St","San Francisco","CA","94114","1968-10-01T00:00:00.000",,"1968-10-01T00:00:00.000",,,"9 Hatzic Ct","Larkspur","94939","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"8","Noe Valley",,"POINT (-122.428656 37.754712)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","52","3","5","22","52"
"1200150-09-181-1077261","1200150-09-181","1077261","Observable Systems, Inc.","Observable Systems, Inc.","525 Market St Ste 3050","San Francisco","CA","94105","2017-08-01T00:00:00.000",,"2017-08-01T00:00:00.000","2019-05-01T00:00:00.000",,"584 Castro St # 858","San Francisco","94114","CA","5100-5199","Information","Information","false","false",,,,"6","Financial District/South Beach",,"POINT (-122.3993385 37.79064)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","108","6","10","8","108"
"1346134-11-231-1152224","1346134-11-231","1152224","Cuprum Bakery LLC","Cuprum Bakery LLC","539 9th Ave","San Francisco","CA","94118","2023-11-03T00:00:00.000",,"2023-11-03T00:00:00.000",,,"3400 Cottage Way Way Ste G2","Sacramento","95825","CA","7220-7229","Food Services","Food Services","false","false",,,,"1","Inner Richmond",,"POINT (-122.4676395 37.778184)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","5","8","4","11","5"
"1229055-07-191-1104690","1229055-07-191","1104690","Home Depot Usa Inc D/B/A The Home Depot Pro","Home Depot Usa Inc D/B/A The Home Depot Pro","2455 Paces Ferry Rd","Atlanta","GA","30339","2019-02-04T00:00:00.000","2019-02-04T00:00:00.000","2019-02-04T00:00:00.000","2019-02-04T00:00:00.000",,,,,,"4200-4299","Wholesale Trade","Wholesale Trade","false","false",,,,,,,"POINT (-84.482218998 33.86556999)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
