"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"1001582-07-141-1001160","1001582-07-141","1001160","Warburton Elizabeth Stark William","Nectar Ventures","546 Fillmore St","San Francisco","CA","94117","2014-07-21T00:00:00.000","2018-06-30T00:00:00.000","2014-07-21T00:00:00.000","2018-06-30T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,"5","Hayes Valley",,"POINT (-122.4306315 37.774548)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","26","4","11","9","26"
"0377691-01-001-0377691","0377691-01-001","0377691","Park Side Farmers Market Inc","Park Side Farmers Market Inc","555 Taraval St","San Francisco","CA","94116","2003-03-24T00:00:00.000",,"2003-03-24T00:00:00.000",,,"555 Taraval St","San Francisco","94116","CA","4400-4599","Retail Trade","Retail Trade","false","false","H07 POS01 WM30","Multiple","RETAIL MKTS W/FOOD PREP (UNDER 5,001); POINT OF SALES; COUNTER/OTHER LESS THAN 100LBS","7","West of Twin Peaks",,"POINT (-122.471955 37.743111)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","46","10","8","41","46"
"1347836-12-231-1066661","1347836-12-231","1066661","Agentdesks Incorporated","Now Real Estate Group","1160 Battery E St Ste 100","San Francisco","CA","94111","2015-09-01T00:00:00.000",,"2023-12-05T00:00:00.000",,,"1160 Battery St # 100ste","San Francisco","94111","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"3","Financial District/South Beach",,"POINT (-122.401701579 37.801937687)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","77","6","3","8","77"
"1309803-07-221-1136944","1309803-07-221","1136944","Feeling Bouquet","Feeling Bouquet","162 28th St","San Francisco","CA","94131","2022-07-13T00:00:00.000","2023-03-31T00:00:00.000","2022-07-13T00:00:00.000","2023-03-31T00:00:00.000",,,,,,"4400-4599","Retail Trade","Retail Trade","false","false",,,,"8","Noe Valley",,"POINT (-122.4260685 37.745595)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","84","9","5","22","84"
"1134585-01-171-0435489","1134585-01-171","0435489","Kyu May L","Kui Shin Bo #2","1424 Lombard St","San Francisco","CA","94123","2009-01-14T00:00:00.000",,"2017-01-24T00:00:00.000",,,"22 Peace Plz","San Francisco","94115","CA","7220-7229","Food Services","Food Services","false","false","H25","RESTAURANT 1,000 - 2,000 SQFT","RESTAURANT 1,000 - 2,000 SQFT","2","Marina","Lombard Street","POINT (-122.425209 37.801557)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","17","4","6","13","17"
"0952115-03-001-0952115","0952115-03-001","0952115","Muganda-Lasley Nellie","Neja Costmetics Salon","2118 Union St","San Francisco","CA","94123","1996-05-03T00:00:00.000",,"2010-04-01T00:00:00.000","2014-11-13T00:00:00.000",,"5748 Geary Blvd","San Francisco","94121","CA",,,,"false","false",,,,"2","Marina","Union Street","POINT (-122.4343215 37.79748)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","15","4","6","13","15"
"1240677-12-191-1109540","1240677-12-191","1109540","Avail Bio, Inc.","Avail Bio","665 3rd St Ste 280","San Francisco","CA","94107","2019-05-01T00:00:00.000","2024-06-01T00:00:00.000","2019-05-01T00:00:00.000","2024-06-01T00:00:00.000",,,,,,"5400-5499","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","false","false",,,,"6","Financial District/South Beach",,"POINT (-122.3932275 37.779417)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","31","1","10","8","31"
"1129678-12-161-1062247","1129678-12-161","1062247","Aging2.0","Aging2.0","44 Tehama St","San Francisco","CA","94105","2013-10-01T00:00:00.000","2021-10-29T00:00:00.000","2013-10-01T00:00:00.000","2021-10-29T00:00:00.000",,,,,,,,,"false","false",,,,"6","Financial District/South Beach",,"POINT (-122.396643 37.787598)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","1","10","8","32"
"1370544-09-241-0481911","1370544-09-241","0481911","Acw Mechanical Of Northern Ca","Contra Costa Heating And Ac","14676 Doolittle Dr","San Leandro","CA","94577","2013-07-30T00:00:00.000",,"2018-01-01T00:00:00.000",,,"14676 Doolittle Dr","San Leandro","94577","CA","2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-122.172814972 37.692401981)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1012953-11-141-0313236","1012953-11-141","0313236","Spc Management Co Inc","Spc Management Co Inc","550 Hills Dr Ste 106","Bedminster","NJ","7921","1998-01-01T00:00:00.000",,"2014-06-01T00:00:00.000",,,"101 Mission St Ste 1900","San Francisco","94105","CA","5210-5239","Financial Services","Financial Services","false","false",,,,,,,"POINT (-74.642817022 40.651957989)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
