"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"1215433-03-191-1001930","1215433-03-191","1001930","Parachute Technologies Inc","Parachute Technology, Inc.","2010 Crow Canyon Pl Ste 260","San Ramon","CA","94583","2013-01-01T00:00:00.000",,"2013-01-01T00:00:00.000",,,"2010 Crow Canyon Pl 260 Ste","San Ramon","94583","CA","5400-5499","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","false","false",,,,,,,"POINT (-121.974025984 37.779173999)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1264876-12-201-1119397","1264876-12-201","1119397","Harrison Malone","San Franscriptco","1001 Mariposa St Unit 206","San Francisco","CA","94107","2020-12-01T00:00:00.000","2021-10-05T00:00:00.000","2020-12-01T00:00:00.000","2021-10-05T00:00:00.000",,,,,,"7100-7199","Arts, Entertainment, and Recreation","Arts, Entertainment, and Recreation","false","false",,,,"10","Potrero Hill",,"POINT (-122.394051 37.763775)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","54","2","9","26","54"
"1261624-10-201-1077687","1261624-10-201","1077687","Demolition Services & Grading Inc","Demolition Services And Grading Inc.","281 Generations Ct","Manteca","CA","95337","2017-10-20T00:00:00.000","2022-05-09T00:00:00.000","2020-06-30T00:00:00.000","2022-05-09T00:00:00.000",,,,,,"2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-121.212361018 37.771701993)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1163387-10-171-1077176","1163387-10-171","1077176","Avenues Sf LLC","Avenues SF","3610 Taraval St","San Francisco","CA","94116","2016-12-22T00:00:00.000",,"2017-10-01T00:00:00.000","2017-10-01T00:00:00.000",,"3610 Taraval St","San Francisco","94116","CA","7220-7229","Food Services","Food Services","false","false",,,,"4","Sunset/Parkside","Parkside Taraval","POINT (-122.504913 37.742013)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","39","10","7","35","39"
"1267478-01-211-0382470","1267478-01-211","0382470","Tauber Michael L","Michael Tauber Architecture","3600 20th St","San Francisco","CA","94110","2004-10-04T00:00:00.000","2021-01-01T00:00:00.000","2021-01-01T00:00:00.000","2021-01-01T00:00:00.000",,,,,,"5400-5499","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","false","false",,,,"9","Mission",,"POINT (-122.4216225 37.758708)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","37","3","5","20","37"
"1085048-07-161-1040461","1085048-07-161","1040461","Bujar Maxhuni","Uber /Lyft Driver","301 Parnassus Ave Apt 305","San Francisco","CA","94117","2015-07-06T00:00:00.000","2015-07-06T00:00:00.000","2015-07-06T00:00:00.000","2015-07-06T00:00:00.000",,,,,,"4800-4999","Transportation and Warehousing","Transportation and Warehousing","false","false",,,,"8","Inner Sunset",,"POINT (-122.4545445 37.764036)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","110","7","11","14","110"
"1302032-04-221-0476077","1302032-04-221","0476077","Kinship Partners Inc","Goodfriend","1355 Market St Rm 210","San Francisco","CA","94103","2013-09-20T00:00:00.000",,"2022-04-08T00:00:00.000","2022-04-08T00:00:00.000",,"1355 Nw Everett St Nw Ste Ste100","Portland","97209","OR","4400-4599","Retail Trade","Retail Trade","false","false",,,,"6","South of Market",,"POINT (-122.4164835 37.777131)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","5","10","34","32"
"1124923-10-161-0303652","1124923-10-161","0303652","Volume Services Inc","82852-Bayside Brews/Beer Cart P14","At&T Portables 1 24 Willie Mays Plaza Promenade Level 2","San Francisco","CA","94107","1993-04-01T00:00:00.000","2017-12-31T00:00:00.000","1993-04-01T00:00:00.000","2017-12-31T00:00:00.000",,,,,,,,,"false","false",,,,"6","Mission Bay",,"POINT (-122.389496 37.778454)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","31","1","10","4","31"
"1147739-05-171-1070755","1147739-05-171","1070755","Post 75, LLC","Post 75, LLC","100 Green St","San Francisco","CA","94111","2017-05-24T00:00:00.000",,"2017-05-24T00:00:00.000",,,"100 Green St","San Francisco","94111","CA","7220-7229","Food Services","Food Services","false","false",,,,"3","Financial District/South Beach",,"POINT (-122.4017865 37.800549)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","77","6","3","8","77"
"1329194-04-231-1145150","1329194-04-231","1145150","Ventra Health, Inc.","Ventra Health, Inc.","5001 Lbj Freeway Fwy Ste 320","Dallas","TX","75244","2022-01-01T00:00:00.000",,"2022-01-01T00:00:00.000",,,"5001 Lbj Freeway Fwy Ste 320","Dallas","75244","TX","5600-5699","Administrative and Support Services","Administrative and Support Services","false","false",,,,,,,"POINT (-96.823063016 32.928178004)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
