"uniqueid","ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","administratively_closed","mailing_address_1","mail_city","mail_zipcode","mail_state","naic_code","naic_code_description","naics_code_descriptions_list","parking_tax","transient_occupancy_tax","lic","lic_code_description","lic_code_descriptions_list","supervisor_district","neighborhoods_analysis_boundaries","business_corridor","location","data_as_of","data_loaded_at",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"1115880-09-161-1055700","1115880-09-161","1055700","Jorge Berrospi","Jorge Berrospi","236 W West Portal Ave Ave 298","San Francisco","CA","94127","2016-08-31T00:00:00.000","2021-06-30T00:00:00.000","2016-09-01T00:00:00.000","2021-06-30T00:00:00.000","***Administratively Closed",,,,,,,,"false","false",,,,"7","West of Twin Peaks",,"POINT (-122.468459421 37.738588582)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","46","10","8","41","46"
"1113290-08-161-1054418","1113290-08-161","1054418","Kristopher Arbuckle","Kristopher Arbuckle","5061 Congress Ave","Oakland","CA","94601","2016-08-31T00:00:00.000","2021-06-30T00:00:00.000","2016-08-31T00:00:00.000","2021-06-30T00:00:00.000","***Administratively Closed",,,,,"2200-2299","Utilities","Utilities","false","false",,,,,,,"POINT (-122.202209971 37.775462995)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"0470760-02-999-0470760","0470760-02-999","0470760","Pressure Washer Center Inc","Hotsy Pacific","28301 Industrial Blvd","Hayward","CA","94545","2012-07-01T00:00:00.000",,"2013-05-01T00:00:00.000",,,"Po Box 4139","Modesto","95352","CA",,,,"false","false",,,,,,,"POINT (-122.096334967 37.618161998)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1004285-08-141-1002720","1004285-08-141","1002720","Berezovskyi Oleksandr","Scopeclarity","365 Vermont St","San Francisco","CA","94103","2014-08-01T00:00:00.000","2015-06-22T00:00:00.000","2014-08-01T00:00:00.000","2015-06-22T00:00:00.000",,,,,,,,,"false","false",,,,"10","Mission Bay",,"POINT (-122.404248 37.765161)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","54","1","9","4","54"
"1007113-09-141-1003771","1007113-09-141","1003771","Threadsuite LLC","Threadsuite LLC","785 Market St","San Francisco","CA","94103","2014-08-01T00:00:00.000","2016-04-15T00:00:00.000","2014-08-01T00:00:00.000","2016-04-15T00:00:00.000",,,,,,,,,"false","false",,,,"6","Financial District/South Beach",,"POINT (-122.4052335 37.785888)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","32","5","10","8","32"
"1058896-03-161-1028904","1058896-03-161","1028904","Kamedis Inc","Kamedis Inc","350 Rhode Island St Ste 240","San Francisco","CA","94103","2015-11-01T00:00:00.000","2019-01-01T00:00:00.000","2015-11-01T00:00:00.000","2019-01-01T00:00:00.000",,,,,,,,,"false","false",,,,"10","Mission Bay",,"POINT (-122.402808 37.765566)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","54","1","9","4","54"
"1304676-05-221-1134159","1304676-05-221","1134159","Epidemic Ales LLC","Epidemic Ales @ Stonestown Farmers Market","3251 20th Ave","San Francisco","CA","94132","2022-04-15T00:00:00.000","2023-11-01T00:00:00.000","2022-05-01T00:00:00.000","2023-10-15T00:00:00.000",,,,,,"4400-4599","Retail Trade","Retail Trade","false","false","H34","PUSHCARTS (RETAIL FOOD VEHICLE)","PUSHCARTS (RETAIL FOOD VEHICLE)","7","Lakeshore",,"POINT (-122.4768375 37.728477)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","41","10","8","16","41"
"1089220-08-161-1042436","1089220-08-161","1042436","James And Ann Roessler","2325 North Point St","2325 North Point St","San Francisco","CA","94123","1999-02-26T00:00:00.000",,"1999-02-26T00:00:00.000",,,"42 Vista Real","Mill Valley","94941","CA","5300-5399","Real Estate and Rental and Leasing Services","Real Estate and Rental and Leasing Services","false","false",,,,"2","Marina",,"POINT (-122.445531 37.802277)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000","17","4","6","13","17"
"1279729-06-211-1125203","1279729-06-211","1125203","Bond Blacktop, Inc.","Bond Blacktop, Inc.","27607 Industrial Blvd Blvd","Hayward","CA","94545","2021-06-09T00:00:00.000",,"2021-06-09T00:00:00.000",,,"Po Box 616","Union City","94587","CA","2300-2399","Construction","Construction","false","false",,,,,,,"POINT (-122.104257039 37.624408988)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
"1026656-04-151-1012872","1026656-04-151","1012872","Stack Stephen  T","Stephen T Stack","247 N Delaware St Apt C","San Mateo","CA","94401","2015-04-24T00:00:00.000","2015-06-30T00:00:00.000","2015-04-24T00:00:00.000","2015-06-30T00:00:00.000",,,,,,,,,"false","false",,,,,,,"POINT (-122.327132012 37.573131019)","2025-05-02T00:00:00.000","2025-05-02T04:12:57.000",,,,,
