uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
0036401-04-001-0036401,0036401-04-001,36401,Hinman Frank Jr & Marion Rev T,Vespasian Press,1000 Francisco St,San Francisco,CA,94109,1969-12-16T00:00:00.000,2018-06-30T00:00:00.000,1999-05-27T00:00:00.000,2018-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,2.0,Russian Hill,,POINT (-122.421879 37.803834),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,107.0,4.0,6.0,32.0,107.0
1046935-12-151-1022002,1046935-12-151,1022002,Pacific Gynecology Surgical Group Inc,Pacific Gynecology Surgical Group Inc,2100 Wester St #518,San Francisco,CA,94115,2015-12-10T00:00:00.000,2015-12-10T00:00:00.000,2015-12-10T00:00:00.000,2015-12-10T00:00:00.000,,,,,,,,,False,False,,,,2.0,Pacific Heights,,POINT (-122.432144 37.790527),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,102.0,4.0,6.0,30.0,102.0
1229900-08-191-1105046,1229900-08-191,1105046,Oscar Morales,Zona Plumbing,725 Le Conte Ave,San Francisco,CA,94124,2019-08-05T00:00:00.000,2024-09-09T00:00:00.000,2019-08-05T00:00:00.000,2024-09-09T00:00:00.000,,,,,,2300-2399,Construction,Construction,False,False,,,,10.0,Bayview Hunters Point,,POINT (-122.3974575 37.716741),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,88.0,2.0,9.0,1.0,88.0
1373041-10-241-1163227,1373041-10-241,1163227,Js Technology Ventures Inc,Js Technology Ventures Inc,752 Harrison St,San Francisco,CA,94107,2024-10-21T00:00:00.000,,2024-10-21T00:00:00.000,,,2261 Market St Ste 22467,San Francisco,94114,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,6.0,South of Market,,POINT (-122.3986455 37.781757),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,1.0,10.0,34.0,32.0
1085984-07-161-1040882,1085984-07-161,1040882,Sally Sloan Revocable Trust And John Sloan Revocable Trust,225-235 Gough Street,461 East Blithedale Ave,Mill Valley,CA,94941,2014-01-01T00:00:00.000,,2014-01-01T00:00:00.000,,,461 E Blithedale Ave,Mill Valley,94941,CA,7210-7219,Accommodations,Accommodations,False,False,,,,,,,POINT (-122.533310988 37.902316981),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1045748-12-151-1020776,1045748-12-151,1020776,Rodriguez Irazoque Lucia,De Chilaca House Cleaning & Janitorial Service,1754 La Salle Ave,San Francisco,CA,94124,2015-11-12T00:00:00.000,2019-06-30T00:00:00.000,2015-12-01T00:00:00.000,2019-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,10.0,Bayview Hunters Point,,POINT (-122.3913915 37.738341),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,86.0,2.0,9.0,1.0,86.0
0467722-01-001-0467722,0467722-01-001,467722,Chelsea Real Estate Inc,Chelsea Real Estate,183 Eureka St 3,San Francisco,CA,94114,2012-03-26T00:00:00.000,2018-06-30T00:00:00.000,2012-03-26T00:00:00.000,2018-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,8.0,Castro/Upper Market,,POINT (-122.437827 37.759482),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,115.0,3.0,5.0,5.0,115.0
1329103-04-231-1145109,1329103-04-231,1145109,Ari Transportation LLC,Ari Transportation LLC,286 Beverly St,San Francisco,CA,94132,2023-03-24T00:00:00.000,2024-08-14T00:00:00.000,2023-03-24T00:00:00.000,2024-08-14T00:00:00.000,,,,,,4800-4999,Transportation and Warehousing,Transportation and Warehousing,False,False,,,,11.0,Oceanview/Merced/Ingleside,,POINT (-122.471406 37.721205),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,64.0,10.0,1.0,24.0,64.0
1232915-09-191-1106192,1232915-09-191,1106192,Benjamin Greenberg,Glowystuff,3491 20th St,San Francisco,CA,94110,2019-09-03T00:00:00.000,,2019-09-03T00:00:00.000,,,3491 20th St,San Francisco,94110,CA,,,,False,False,,,,9.0,Mission,,POINT (-122.418693 37.758438),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,53.0,3.0,2.0,20.0,53.0
1130830-12-161-1062787,1130830-12-161,1062787,"Ahi Mahi Enterprise, LLC.",Ahipoki,2123 Polks St,San Francisco,CA,94109,2016-12-20T00:00:00.000,2018-05-08T00:00:00.000,2016-12-20T00:00:00.000,2018-05-08T00:00:00.000,,,,,,7220-7229,Food Services,Food Services,False,False,,,,3.0,Russian Hill,,POINT (-122.421867076 37.796208823),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,105.0,4.0,3.0,32.0,105.0
1325132-02-231-1143448,1325132-02-231,1143448,Unum Group,Unum Group,1 Fountain Sq,Chattanooga,TN,37402,2022-10-30T00:00:00.000,,2022-10-30T00:00:00.000,,,1 Fountain Sq,Chattanooga,37402,TN,,,,False,False,,,,,,,POINT (-85.30694999 35.050520983),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1258403-08-201-1115109,1258403-08-201,1115109,Unveiled Bridal LLC,Unveiled Bridal,159 19th Ave Apt 9,San Francisco,CA,94121,2020-06-19T00:00:00.000,,2020-08-21T00:00:00.000,2022-05-01T00:00:00.000,,2174 46th Ave,San Francisco,94116,CA,4400-4599,Retail Trade,Retail Trade,False,False,,,,1.0,Outer Richmond,,POINT (-122.478975 37.784889),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,2.0,8.0,4.0,29.0,2.0
1166579-11-171-1078702,1166579-11-171,1078702,"Prochaine, Inc.",Oaxacan Kitchen Mobile,1117 Independence Ave,Mountain View,CA,94043,2017-11-08T00:00:00.000,2022-06-29T00:00:00.000,2017-11-08T00:00:00.000,2022-06-29T00:00:00.000,***Administratively Closed,,,,,7220-7229,Food Services,Food Services,False,False,,,,,,,POINT (-122.09653102 37.420475021),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
