uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
0365230-03-001-0365230,0365230-03-001,365230,America Int'l Travel Srvcs Inc,China Usa Circle,110 Sutter St Ste 518,San Francisco,CA,94104.0,2003-04-01T00:00:00.000,,2004-03-19T00:00:00.000,,,Po Box 16631,San Francisco,94116,CA,,,,False,False,,,,3.0,Financial District/South Beach,,POINT (-122.402709 37.790226),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,19.0,6.0,3.0,8.0,19.0
0482966-01-001-0482966,0482966-01-001,482966,Haas Corinne S,Corinne Haas,1135 Kirkham St,San Francisco,CA,94122.0,2013-08-01T00:00:00.000,,2013-08-01T00:00:00.000,,,1639 15th Ave,San Francisco,94122,CA,,,,False,False,,,,7.0,Inner Sunset,,POINT (-122.4729405 37.75977),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,44.0,10.0,8.0,14.0,44.0
1078673-06-161-1038259,1078673-06-161,1038259,Jack Lee,Lyft,6200 Harmon Ave,Oakland,CA,94621.0,2016-06-25T00:00:00.000,2018-01-01T00:00:00.000,2016-06-25T00:00:00.000,2018-01-01T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,,,,POINT (-122.193201018 37.766617992),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1029155-05-151-1013912,1029155-05-151,1013912,Boaco Corporation,Cumaica Coffee Co #2,4724 Mission St,San Francisco,CA,94112.0,2015-01-01T00:00:00.000,,2015-01-01T00:00:00.000,,,1355 Magnolia Ave,Millbrae,94030,CA,7220-7229,Food Services,Food Services,False,False,H25 POS01 WM18,Multiple,"RESTAURANT 1,000 - 2,000 SQFT; POINT OF SALES; COMPUTING SCALE",11.0,Outer Mission,Mission Street,POINT (-122.436666 37.722726),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,80.0,9.0,1.0,28.0,80.0
0425163-01-999-0425163,0425163-01-999,425163,Tuck Aire Heating & A/C Corp,Tuck Aire Heating,340 Roebling Rd,S San Fran,CA,94080.0,2007-09-01T00:00:00.000,,2007-09-01T00:00:00.000,2015-01-01T00:00:00.000,,407 Cabot Rd,S San Fran,94080,CA,2300-2399,Construction,Construction,False,False,,,,,,,POINT (-122.396252035 37.655691005),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1009756-10-141-0444808,1009756-10-141,444808,Moreno Gregory N,Morenoprojects,1743 46th Ave,San Francisco,CA,94122.0,2009-12-16T00:00:00.000,2015-12-31T00:00:00.000,2013-01-01T00:00:00.000,2015-12-31T00:00:00.000,,,,,,,,,False,False,,,,4.0,Sunset/Parkside,,POINT (-122.5058175 37.754001),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,39.0,10.0,7.0,35.0,39.0
1009776-10-141-1005057,1009776-10-141,1005057,Vallejo-Wolff Tomas/Ramirez Melanie,Luna Lobo Creations,159 Lobos St,San Francisco,CA,94112.0,2014-10-17T00:00:00.000,2016-08-05T00:00:00.000,2014-10-17T00:00:00.000,2016-08-05T00:00:00.000,,,,,,,,,False,False,,,,11.0,Oceanview/Merced/Ingleside,,POINT (-122.45787 37.714671),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,81.0,10.0,1.0,24.0,81.0
1327030-03-231-1016681,1327030-03-231,1016681,Apihub Inc,Clearbit,346 9th St,San Francisco,CA,94103.0,2015-01-08T00:00:00.000,2023-11-30T00:00:00.000,2022-01-01T00:00:00.000,2023-11-30T00:00:00.000,,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,6.0,South of Market,,POINT (-122.4112725 37.773126),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,1.0,10.0,34.0,32.0
1088674-08-161-1042166,1088674-08-161,1042166,Rouse Fletcher,Alliance Fire Protection,1726 Dawn St,Livermore,CA,94550.0,2016-08-12T00:00:00.000,2021-06-30T00:00:00.000,2016-08-12T00:00:00.000,2021-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,,,,POINT (-121.72331404 37.681622979),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0377409-01-001-0377409,0377409-01-001,377409,N E Stone Corp,N E Stone Corp,2121 Evans St,San Francisco,CA,94124.0,2004-05-15T00:00:00.000,,2004-10-18T00:00:00.000,2015-05-03T00:00:00.000,,225 Raymond Ave,San Francisco,94134,CA,2300-2399,Construction,Construction,False,False,,,,10.0,Bayview Hunters Point,,POINT (-122.396847185 37.748670033),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,85.0,2.0,9.0,1.0,85.0
