uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
0407653-01-999-0407653,0407653-01-999,407653,Friedman Robert M,Friedman Robert M,913 Belmont Way,Oakley,CA,94561.0,2007-01-01T00:00:00.000,2008-12-31T00:00:00.000,2007-01-01T00:00:00.000,2008-12-31T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-121.71825 37.9934),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1022677-03-151-0475094,1022677-03-151,475094,Sneakpeeq Inc,Symphony Commerce Inc,1045 Bryant St Rm 200,San Francisco,CA,94103.0,2011-03-08T00:00:00.000,2019-05-31T00:00:00.000,2014-09-01T00:00:00.000,2019-05-31T00:00:00.000,,,,,,,,,False,False,,,,6.0,South of Market,,POINT (-122.4073395 37.771785),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,33.0,1.0,10.0,34.0,33.0
1019029-02-151-1003067,1019029-02-151,1003067,Spoonrocket Inc,Spoonrocket Inc,173 Eddy St,San Francisco,CA,94102.0,2014-08-20T00:00:00.000,2021-06-30T00:00:00.000,2015-02-13T00:00:00.000,2021-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,5.0,Tenderloin,,POINT (-122.4103995 37.783935),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,20.0,5.0,10.0,36.0,20.0
0482513-01-001-0482513,0482513-01-001,482513,Manpower Us Inc,Manpower Us Inc,3 Embarcadero Ctr,San Francisco,CA,94111.0,2013-12-31T00:00:00.000,2023-06-30T00:00:00.000,2013-01-01T00:00:00.000,2014-03-05T00:00:00.000,,,,,,,,,False,False,,,,6.0,Financial District/South Beach,,POINT (-122.388432556 37.782079308),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,31.0,1.0,10.0,8.0,31.0
0407848-01-999-0407848,0407848-01-999,407848,Gobea Ezequiel,Gobea Ezequiel,413 4th St,Rodeo,CA,94572.0,2007-01-01T00:00:00.000,2018-06-30T00:00:00.000,2007-01-01T00:00:00.000,2018-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,,,,POINT (-122.268739986 38.03234402),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1196168-07-181-0392436,1196168-07-181,392436,Bay Area Safe Alternatives Collective Inc,Baytru Distribution,1510 Wallace Ave A&B,San Francisco,CA,94124.0,2005-10-17T00:00:00.000,,2018-07-25T00:00:00.000,2020-02-05T00:00:00.000,,1326 Grove St Bldg,San Francisco,94117,CA,4400-4599,Retail Trade,Retail Trade,False,False,,,,10.0,Bayview Hunters Point,,POINT (-122.3895555 37.726776),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,86.0,2.0,9.0,1.0,86.0
1228958-07-191-1104651,1228958-07-191,1104651,Neelam Birla,Om Namo,190 7th Street 4,San Francisco,CA,94103.0,2019-07-25T00:00:00.000,2022-12-30T00:00:00.000,2019-07-25T00:00:00.000,2022-12-30T00:00:00.000,,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,6.0,South of Market,,POINT (-122.409801 37.777995),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,1.0,10.0,34.0,32.0
1360408-05-241-1158231,1360408-05-241,1158231,Sage Spencer,Sage Ryan Spencer,2230 33rd Ave,San Francisco,CA,94116.0,2024-05-01T00:00:00.000,,2024-05-01T00:00:00.000,,,2230 33rd Ave,San Francisco,94116,CA,7210-7219,Accommodations,Accommodations,False,True,,,,4.0,Sunset/Parkside,,POINT (-122.490594 37.745514),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,40.0,10.0,7.0,35.0,40.0
1301796-04-221-1133846,1301796-04-221,1133846,"Myfitnesspal, Inc.","Myfitnesspal, Inc.",135 Townsend St,San Francisco,CA,94107.0,2022-01-01T00:00:00.000,,2022-01-01T00:00:00.000,,,100 Congress Ave Ste 400,Austin,78701,TX,5100-5199 5400-5499,Multiple,"Information; Professional, Scientific, and Technical Services",False,False,,,,6.0,Mission Bay,,POINT (-122.3910135 37.779813),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,31.0,1.0,10.0,4.0,31.0
1301490-03-221-1133722,1301490-03-221,1133722,Buidl Labs Inc.,Buidl Labs Inc.,548 Market St Pmb66389,San Francisco,CA,94104.0,2022-03-21T00:00:00.000,2023-07-31T00:00:00.000,2022-03-21T00:00:00.000,2023-07-31T00:00:00.000,,,,,,5100-5199,Information,Information,False,False,,,,3.0,Financial District/South Beach,,POINT (-122.399839596 37.790594988),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,108.0,6.0,3.0,8.0,108.0
