uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
1254662-06-201-1115322,1254662-06-201,1115322,Emily Jenks LLC,"Emily Jenks Photography, Emily Jenks Education, Meet Me At City Hall",1258 12th Ave Unit 4,San Francisco,CA,94122.0,2020-06-30T00:00:00.000,,2020-06-30T00:00:00.000,2020-06-30T00:00:00.000,,1258 12th Ave 4 Unit,San Francisco,94122.0,CA,,,,False,False,,,,7.0,Inner Sunset,,POINT (-122.469556205 37.764690441),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,109.0,10.0,11.0,14.0,109.0
0352409-05-001-0352409,0352409-05-001,352409,Silberman Amy B,Amy Silberman,281 Downey St,San Francisco,CA,94117.0,2002-01-30T00:00:00.000,,2014-01-01T00:00:00.000,,,281 Downey St,San Francisco,94117.0,CA,,,,False,False,,,,8.0,Haight Ashbury,,POINT (-122.4467775 37.764),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,114.0,7.0,11.0,3.0,114.0
1156545-08-171-0488283,1156545-08-171,488283,"Ppkk Beauty, Inc",Milk,1523 Ocean Ave St,San Francisco,CA,94112.0,2014-04-01T00:00:00.000,2020-05-31T00:00:00.000,2017-08-01T00:00:00.000,2017-08-03T00:00:00.000,,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,11.0,Oceanview/Merced/Ingleside,Ocean Ave,POINT (-122.458716 37.724166),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,64.0,10.0,8.0,24.0,64.0
0433653-03-001-0433653,0433653-03-001,433653,Hunt Amanda J,Ajb Dance,3530 18th St 8,San Francisco,CA,94110.0,2012-07-01T00:00:00.000,2016-05-25T00:00:00.000,2013-04-10T00:00:00.000,2016-05-25T00:00:00.000,,,,,,,,,False,False,,,,9.0,Mission,,POINT (-122.4223875 37.761885),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,37.0,3.0,5.0,20.0,37.0
0485705-01-999-0485705,0485705-01-999,485705,Ashley James E,James Ashley Construction,3840 Dell Rd,Carmichael,CA,95608.0,2013-12-27T00:00:00.000,2014-06-28T00:00:00.000,2013-12-27T00:00:00.000,2014-06-28T00:00:00.000,,,,,,,,,False,False,,,,,,,POINT (-121.295398353 38.634380251),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0340410-01-001-0340410,0340410-01-001,340410,Icf Incorporated,Icf Incorporated,620 Folsom St Fl 2,San Francisco,CA,94107.0,2000-09-30T00:00:00.000,,2010-01-01T00:00:00.000,,,0000 Undeliverable Mail,San Francisco,99999.0,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,6.0,Financial District/South Beach,,POINT (-122.397597 37.785276),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,1.0,10.0,8.0,32.0
0165398-02-001-0165398,0165398-02-001,165398,Marital Trust,3943-3947 Sacramento St Apts,3943 Sacramento St,San Francisco,CA,94118.0,1987-01-01T00:00:00.000,2017-08-04T00:00:00.000,1987-01-01T00:00:00.000,2017-04-14T00:00:00.000,,,,,,,,,False,False,,,,2.0,Presidio Heights,,POINT (-122.457888 37.786527),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,10.0,8.0,6.0,31.0,10.0
1372595-10-241-1162804,1372595-10-241,1162804,Leanne Schwers,L Tax & Co,1285 Sutter St Unit 801,San Francisco,CA,94109.0,2024-10-07T00:00:00.000,2025-02-24T00:00:00.000,2024-10-07T00:00:00.000,2024-10-07T00:00:00.000,,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,3.0,Nob Hill,,POINT (-122.421450712 37.787566045),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,50.0,4.0,3.0,21.0,50.0
1333743-05-231-1147002,1333743-05-231,1147002,Certified Tile And Stone Inc.,Certified Tile And Stone Inc.,14557 Calvert St,Van Nuys,CA,91411.0,2023-05-24T00:00:00.000,,2023-05-24T00:00:00.000,,,14557 Calvert St,Van Nuys,91411.0,CA,2300-2399,Construction,Construction,False,False,,,,,,,POINT (-118.450703965 34.182012986),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0363055-01-001-0363055,0363055-01-001,363055,Taraval Okazu Ya,Taraval Okazu Ya,1735 Taraval St,San Francisco,CA,94116.0,2003-01-01T00:00:00.000,,2003-01-01T00:00:00.000,,,1735 Taraval St,San Francisco,94116.0,CA,7220-7229,Food Services,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT","RESTAURANT 1,000 - 2,000 SQFT",4.0,Sunset/Parkside,Parkside Taraval,POINT (-122.4848835 37.7424),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,40.0,10.0,7.0,35.0,40.0
1353447-02-241-1155402,1353447-02-241,1155402,Tng Builders Inc.,Tng Builders Inc.,1563 Innes Ave,San Francisco,CA,94124.0,2024-02-12T00:00:00.000,,2024-02-12T00:00:00.000,,,0000 Undeliverable Mail,San Francisco,99999.0,CA,2300-2399,Construction,Construction,False,False,,,,10.0,Bayview Hunters Point,,POINT (-122.3883405 37.738827),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,86.0,2.0,9.0,1.0,86.0
0394389-01-001-0394389,0394389-01-001,394389,Perkins & Will Inc,Perkins & Will Inc,185 Berry St Ste 3100,San Francisco,CA,94107.0,2005-04-01T00:00:00.000,,2005-04-01T00:00:00.000,2018-12-31T00:00:00.000,,410 N Michigan Ave Ste,Chicago,60611.0,IL,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,6.0,Mission Bay,,POINT (-122.39181 37.77633),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,34.0,1.0,10.0,4.0,34.0
0480020-02-001-0480020,0480020-02-001,480020,America&Asia Tradbiz LLC,Fancyboat,2189 Bayshore Bl 202,San Francisco,CA,94134.0,2013-07-15T00:00:00.000,2018-06-30T00:00:00.000,2013-08-06T00:00:00.000,2018-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,10.0,Bayview Hunters Point,,POINT (-122.401179 37.712295),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,89.0,2.0,9.0,1.0,89.0
1170658-12-171-0475906,1170658-12-171,475906,City College Of San Francisco,Educated Palate,88 4th St,San Francisco,CA,94103.0,2012-02-14T00:00:00.000,,2017-10-02T00:00:00.000,,,50 Frida Kahlo Way,San Francisco,94112.0,CA,,,,False,False,D08 D26,Multiple,STATION TANKS - UNDERGROUND; STATION TANKS - ABOVE GROUND,6.0,South of Market,,POINT (-122.404635 37.784583),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,5.0,10.0,34.0,32.0
1029838-06-151-0456328,1029838-06-151,456328,Brandin Alex O,Oitatio,45 Brosnan St 9,San Francisco,CA,94103.0,2010-02-01T00:00:00.000,,2015-06-01T00:00:00.000,,,Po Box 14202,San Francisco,94114.0,CA,,,,False,False,,,,9.0,Mission,,POINT (-122.4233325 37.768554),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,37.0,3.0,5.0,20.0,37.0
