uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
1305540-05-221-1082718,1305540-05-221,1082718,Timothy Nott,Nott Cpa,1 Sansome St Ste 3500,San Francisco,CA,94104.0,2018-01-01T00:00:00.000,2024-10-13T00:00:00.000,2022-05-10T00:00:00.000,2024-10-13T00:00:00.000,,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,3.0,Financial District/South Beach,,POINT (-122.400954 37.790487),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,108.0,6.0,3.0,8.0,108.0
1189864-05-181-1088334,1189864-05-181,1088334,High Quality Roofing Co,High Quality Roofing Co,1855 14th Ave,San Francisco,CA,94122.0,2018-01-01T00:00:00.000,,2018-01-01T00:00:00.000,,,1855 14th Ave,San Francisco,94122.0,CA,,,,False,False,,,,7.0,Inner Sunset,,POINT (-122.471451 37.753308),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,44.0,10.0,8.0,14.0,44.0
1368966-08-241-1161516,1368966-08-241,1161516,Lightyear Solar LLC,Lightyear Solar LLC,1505 Sonora Dr,Hemet,CA,92543.0,2024-08-22T00:00:00.000,,2024-08-22T00:00:00.000,,,2121 Rosin Jaw Walk,Leander,78641.0,TX,2300-2399,Construction,Construction,False,False,,,,,,,POINT (-116.986962993 33.757521014),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
1282825-07-211-1108377,1282825-07-211,1108377,Joyce J. Yoo,Wisely Solutions,1948 Quesada Ave,San Francisco,CA,94124.0,2019-11-07T00:00:00.000,2023-11-08T00:00:00.000,2021-07-24T00:00:00.000,2021-10-01T00:00:00.000,,,,,,,,,False,False,,,,10.0,Bayview Hunters Point,,POINT (-122.3959995 37.736226),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,87.0,2.0,9.0,1.0,87.0
0004195-02-001-0004195,0004195-02-001,4195,F J Burns Draying,F J Burns Draying,516 Townsend St,San Francisco,CA,94103.0,1968-10-01T00:00:00.000,2015-12-31T00:00:00.000,1968-10-01T00:00:00.000,2015-12-31T00:00:00.000,,,,,,,,,False,False,,,,6.0,South of Market,,POINT (-122.4004635 37.773513),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,1.0,10.0,34.0,32.0
1003280-08-141-1002175,1003280-08-141,1002175,Rosa Angela Schwartz,Rosa Angela Schwartz,1701 Vallejo St Apt 201,San Francisco,CA,94123.0,2014-08-01T00:00:00.000,2015-05-31T00:00:00.000,2014-08-01T00:00:00.000,2015-05-31T00:00:00.000,,,,,,,,,False,False,,,,2.0,Pacific Heights,,POINT (-122.425551 37.796283),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,102.0,4.0,6.0,30.0,102.0
1242716-01-201-0446638,1242716-01-201,446638,Kennedy Timothy J,Tim Kennedy Design,195 Alhambra St Apt 10,San Francisco,CA,94123.0,1995-01-01T00:00:00.000,2024-05-23T00:00:00.000,1995-01-01T00:00:00.000,2024-05-23T00:00:00.000,,,,,,,,,False,False,,,,2.0,Marina,,POINT (-122.439402 37.801467),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,17.0,4.0,6.0,13.0,17.0
0419549-01-001-0419549,0419549-01-001,419549,Black Sarah,Five And Diamond,510 Valencia,San Francisco,CA,94110.0,2007-07-07T00:00:00.000,2014-07-31T00:00:00.000,2007-07-07T00:00:00.000,2014-07-31T00:00:00.000,,,,,,,,,False,False,,,,9.0,Mission,,POINT (-122.421912479 37.764680168),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,37.0,3.0,5.0,20.0,37.0
0463908-01-001-0463908,0463908-01-001,463908,Butterflive Inc,Butterflive,169 11th St,San Francisco,CA,94103.0,2011-06-02T00:00:00.000,2018-06-30T00:00:00.000,2011-06-02T00:00:00.000,2018-06-30T00:00:00.000,***Administratively Closed,,,,,,,,False,False,,,,6.0,South of Market,,POINT (-122.4157995 37.773576),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,1.0,10.0,34.0,32.0
1380566-02-251-1166516,1380566-02-251,1166516,Order Of The Beloved,Order Of The Beloved,1337 # 2b Sutter St #,San Francisco,CA,94109.0,2022-11-02T00:00:00.000,2022-11-02T00:00:00.000,2022-11-02T00:00:00.000,2022-11-02T00:00:00.000,,,,,,,,,False,False,,,,,,,,2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
