uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,administratively_closed,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,business_corridor,location,data_as_of,data_loaded_at,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md,:@computed_region_jwn9_ihcz
1178043-02-181-1083199,1178043-02-181,1083199,"1036 Mission Associates, L.P.",,201 Eddy St,San Francisco,CA,94102.0,2006-12-11T00:00:00.000,,2006-12-11T00:00:00.000,,,201 Eddy St,San Francisco,94102.0,CA,5300-5399,Real Estate and Rental and Leasing Services,Real Estate and Rental and Leasing Services,False,False,,,,5.0,Tenderloin,Central Market,POINT (-122.4110745 37.784034),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,20.0,5.0,10.0,36.0,20.0
0383495-06-001-0383495,0383495-06-001,383495,Liffey Thames Group LLC,Liffey Thames,100 California St 800,San Francisco,CA,94111.0,2004-12-20T00:00:00.000,2018-12-31T00:00:00.000,2004-12-22T00:00:00.000,2014-11-17T00:00:00.000,,,,,,,,,False,False,,,,3.0,Financial District/South Beach,,POINT (-122.398074 37.793952),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,108.0,6.0,3.0,8.0,108.0
1139514-03-171-1067003,1139514-03-171,1067003,"Dogpatch Sf, LLC",Serpentine,2495 3rd St,San Francisco,CA,94107.0,2017-01-01T00:00:00.000,2021-12-31T00:00:00.000,2017-01-01T00:00:00.000,2021-12-31T00:00:00.000,,,,,,7220-7229,Food Services,Food Services,False,False,D04 H25,Multiple,"PLACES OF PUBLIC ASSEMBLY & OPEN-AIR ASSEMBLY; RESTAURANT 1,000 - 2,000 SQFT",10.0,Potrero Hill,,POINT (-122.3881605 37.758051),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,55.0,2.0,9.0,26.0,55.0
1050876-01-161-1023992,1050876-01-161,1023992,Carrera Mauricio,Ciolandia,320 Alemany Blvd Apt 4b,San Francisco,CA,94110.0,2015-04-25T00:00:00.000,2017-06-30T00:00:00.000,2015-04-25T00:00:00.000,2017-06-30T00:00:00.000,,,,,,,,,False,False,,,,9.0,Bernal Heights,,POINT (-122.4123255 37.734201),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,83.0,9.0,2.0,2.0,83.0
1328648-03-231-1144910,1328648-03-231,1144910,Wei He,Sf David Roasted Whole Lamb,1249 20th Ave,San Francisco,CA,94122.0,2023-03-28T00:00:00.000,,2023-03-28T00:00:00.000,,,1249 20th Ave,San Francisco,94122.0,CA,7220-7229,Food Services,Food Services,False,False,,,,4.0,Sunset/Parkside,,POINT (-122.478606 37.764477),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,39.0,10.0,7.0,35.0,39.0
1309001-07-221-1136627,1309001-07-221,1136627,Marcia Shew,Marcia Shew,499 Bright St,San Francisco,CA,94132.0,2022-06-30T00:00:00.000,,2022-07-01T00:00:00.000,,,499 Bright St,San Francisco,94132.0,CA,7210-7219,Accommodations,Accommodations,False,True,,,,11.0,Oceanview/Merced/Ingleside,,POINT (-122.4637875 37.719693),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,64.0,10.0,1.0,24.0,64.0
1024254-03-151-1011724,1024254-03-151,1011724,Vaca Rocio,2825 Van Ness Ave Apartments,714 Van Ness Ave,San Francisco,CA,94102.0,2014-01-01T00:00:00.000,,2014-01-01T00:00:00.000,2016-03-09T00:00:00.000,,714 Van Ness Ave,San Francisco,94102.0,CA,5300-5399,Real Estate and Rental and Leasing Services,Real Estate and Rental and Leasing Services,False,False,,,,5.0,Tenderloin,,POINT (-122.4203085 37.782234),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,20.0,4.0,10.0,36.0,20.0
0304059-40-999-0304059,0304059-40-999,304059,Tides Center,Girls Circle,458 Christensen Ln,Cotati,CA,94931.0,1997-01-01T00:00:00.000,,1999-03-28T00:00:00.000,2012-05-31T00:00:00.000,,1012 Torney Ave,San Francisco,94129.0,CA,5600-5699,Administrative and Support Services,Administrative and Support Services,False,False,,,,,,,POINT (-122.71179 38.323364),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,,,,,
0457734-01-001-0457734,0457734-01-001,457734,Berle Elizabeth G,Elizabeth Berle,471 Jersey St,San Francisco,CA,94114.0,2011-03-20T00:00:00.000,2019-06-30T00:00:00.000,2011-03-20T00:00:00.000,2015-05-21T00:00:00.000,,,,,,,,,False,False,,,,8.0,Noe Valley,,POINT (-122.435568 37.750158),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,84.0,3.0,5.0,22.0,84.0
1228253-07-191-1081357,1228253-07-191,1081357,"Space Lab Sf, LLC",Junction,332 8th St,San Francisco,CA,94103.0,2018-01-02T00:00:00.000,,2019-07-17T00:00:00.000,,,332 8th St,San Francisco,94103.0,CA,4400-4599,Retail Trade,Retail Trade,False,False,,,,6.0,South of Market,,POINT (-122.4092115 37.774071),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,32.0,1.0,10.0,34.0,32.0
1127143-11-161-1061044,1127143-11-161,1061044,Rosolyn Rosolyn,San Francisco Virtual Taxes,3931 Alemany Blvd 2003111,San Francisco,CA,94132.0,2016-11-01T00:00:00.000,2021-06-30T00:00:00.000,2016-11-01T00:00:00.000,2021-06-30T00:00:00.000,***Administratively Closed,,,,,5210-5239,Financial Services,Financial Services,False,False,,,,7.0,Oceanview/Merced/Ingleside,,POINT (-122.468339078 37.710910336),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,65.0,10.0,8.0,24.0,65.0
1209418-01-191-1096724,1209418-01-191,1096724,"A-Frame Capital, LLC","A-Frame Capital, LLC",655 Montgomery St Floor7,San Francisco,CA,94111.0,2018-12-21T00:00:00.000,2023-06-30T00:00:00.000,2018-12-21T00:00:00.000,2023-06-30T00:00:00.000,***Administratively Closed,,,,,5210-5239,Financial Services,Financial Services,False,False,,,,3.0,Chinatown,,POINT (-122.4033885 37.795131),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,104.0,6.0,3.0,6.0,104.0
1247603-02-201-1112408,1247603-02-201,1112408,"Crescent Cove Advisors, Lp",Crescent Cove Advisors Lp,530 Bush St 703,San Francisco,CA,94108.0,2019-08-13T00:00:00.000,,2019-08-13T00:00:00.000,2022-07-31T00:00:00.000,,1700 Montgomery St Ste 240,San Francisco,94111.0,CA,5210-5239,Financial Services,Financial Services,False,False,,,,3.0,Financial District/South Beach,,POINT (-122.406084 37.790622),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,104.0,6.0,3.0,8.0,104.0
1196127-07-181-1090685,1196127-07-181,1090685,Oceanside Laundry Inc.,Oceanside Laundry Inc.,1388 46th Ave,San Francisco,CA,94122.0,2009-07-16T00:00:00.000,,2009-07-16T00:00:00.000,,,643 Chestnut Ave,South San Francisco,94080.0,CA,,,,False,False,,,,4.0,Sunset/Parkside,,POINT (-122.505606 37.760688),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,39.0,10.0,7.0,35.0,39.0
1317417-10-221-1140171,1317417-10-221,1140171,"Jaredco Services, LLC","Jaredco Services, LLC",112 Onondaga Ave,San Francisco,CA,94112.0,2021-01-21T00:00:00.000,2023-07-24T00:00:00.000,2021-01-21T00:00:00.000,2023-07-24T00:00:00.000,,,,,,,,,False,False,,,,11.0,Outer Mission,,POINT (-122.43996 37.722357),2025-05-02T00:00:00.000,2025-05-02T04:12:57.000,80.0,9.0,1.0,28.0,80.0
